epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.9536,3.16023,4.64635,1.72796,0.00078,0.06413,6e-05,1e-05,2.53887,3.81629,1.39116,0.00031673,0.00031673,0.00031673
2,16.5287,2.76488,2.83721,1.42459,0.00389,0.19496,0.00574,0.00125,2.42805,3.40338,1.33358,0.000637257,0.000637257,0.000637257
3,20.9287,2.57425,2.73415,1.34194,0.00694,0.3271,0.05324,0.01226,2.47416,3.23267,1.39922,0.000944582,0.000944582,0.000944582
4,25.1735,2.56071,2.42591,1.38302,0.47036,0.05372,0.19182,0.05497,2.58013,2.69023,1.45427,0.0012387,0.0012387,0.0012387
5,29.4046,2.50212,2.2611,1.3384,0.68101,0.17252,0.16041,0.03851,2.67223,2.59067,1.43466,0.00151962,0.00151962,0.00151962
6,33.8939,2.52848,2.13872,1.33993,0.34933,0.32988,0.28912,0.08988,2.56387,2.17292,1.40913,0.00150197,0.00150197,0.00150197
7,37.9772,2.50304,2.12701,1.32729,0.18759,0.25444,0.14691,0.03757,2.72097,2.38544,1.45912,0.00146896,0.00146896,0.00146896
8,42.0245,2.45976,2.07133,1.3181,0.34229,0.39871,0.21195,0.05845,2.59865,2.09852,1.41029,0.00143595,0.00143595,0.00143595
9,46.1732,2.48353,2.0021,1.31595,0.30777,0.36542,0.23778,0.06896,2.54263,1.97651,1.40917,0.00140295,0.00140295,0.00140295
10,50.2694,2.45752,1.99103,1.3241,0.36365,0.3839,0.30381,0.07698,2.5713,1.8862,1.38945,0.00136994,0.00136994,0.00136994
11,54.3015,2.46489,1.91559,1.31166,0.25953,0.45596,0.27668,0.07508,2.48707,1.99686,1.37814,0.00133693,0.00133693,0.00133693
12,58.3301,2.45547,1.94106,1.32345,0.35548,0.50983,0.33772,0.10139,2.40585,1.90528,1.34382,0.00130393,0.00130393,0.00130393
13,62.3915,2.38152,1.83033,1.26548,0.52609,0.41255,0.39399,0.11417,2.44974,1.73458,1.37157,0.00127092,0.00127092,0.00127092
14,66.5441,2.40765,1.78406,1.27309,0.36932,0.47509,0.36639,0.11182,2.40945,1.78199,1.35876,0.00123791,0.00123791,0.00123791
15,70.6475,2.40878,1.75814,1.28478,0.50573,0.41029,0.32876,0.08784,2.4564,1.83144,1.34345,0.00120491,0.00120491,0.00120491
16,74.6571,2.42782,1.78032,1.30502,0.40586,0.43673,0.36625,0.11056,2.3986,1.74209,1.34523,0.0011719,0.0011719,0.0011719
17,78.6575,2.37584,1.74286,1.28332,0.40361,0.48903,0.40825,0.12356,2.37091,1.72579,1.34168,0.00113889,0.00113889,0.00113889
